City_ID,City,Lat,Lon,Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Bac Lieu,9.285,105.7244,25.57,89,96,3.11,VN,2023-09-30 20:56:54
1,Yellowknife,62.456,-114.3525,8.55,68,75,3.09,CA,2023-09-30 20:56:54
2,Waitangi,-43.9535,-176.5597,10.46,79,91,2.68,NZ,2023-09-30 20:56:54
3,Jalai Nur,49.45,117.7,6.66,60,51,2.46,CN,2023-09-30 20:56:54
4,Malindi,-3.2175,40.1191,26.09,73,20,5.14,KE,2023-09-30 20:56:54
5,Rémire-Montjoly,4.9167,-52.2667,31.02,70,0,4.63,GF,2023-09-30 20:56:54
6,Wailua Homesteads,22.0669,-159.378,27.25,74,0,6.17,US,2023-09-30 20:55:09
7,Saint-Pierre,-21.3393,55.4781,21.82,83,0,2.06,RE,2023-09-30 20:56:54
8,Talnakh,69.4865,88.3972,-7.66,93,22,1.15,RU,2023-09-30 20:56:54
9,Awjilah,29.1081,21.2869,23.45,56,77,4.78,LY,2023-09-30 20:56:54
10,Khodzha-Maston,38.7446,68.627,7.68,34,2,4.45,TJ,2023-09-30 20:55:46
11,Lüderitz,-26.6481,15.1594,16.93,66,0,6.26,NA,2023-09-30 20:56:54
12,Adamstown,-25.066,-130.1015,20.61,87,99,11.67,PN,2023-09-30 20:56:55
13,Bonne Terre,37.9231,-90.5554,31.29,35,15,3.36,US,2023-09-30 20:56:55
14,Rundu,-17.9333,19.7667,23.08,11,0,3.45,NA,2023-09-30 20:56:55
15,Bredasdorp,-34.5322,20.0403,10.33,77,5,2.31,ZA,2023-09-30 20:56:55
16,Meulaboh,4.1363,96.1285,25.81,87,48,1.35,ID,2023-09-30 20:56:55
17,Port-aux-Français,-49.35,70.2167,3.92,98,100,11.86,TF,2023-09-30 20:56:55
18,Egilsstadir,65.2653,-14.3948,5.95,81,100,1.54,IS,2023-09-30 20:56:55
19,Keflavik,64.0049,-22.5624,9.24,87,75,9.77,IS,2023-09-30 20:56:55
20,Ilulissat,69.2167,-51.1,-6.91,76,13,2.05,GL,2023-09-30 20:56:55
21,Jamestown,42.097,-79.2353,22.91,68,0,4.12,US,2023-09-30 20:53:55
22,Kabompo,-13.5927,24.2008,22.75,48,92,1.53,ZM,2023-09-30 20:56:56
23,Ekibastuz,51.6667,75.3667,11.65,67,100,0.73,KZ,2023-09-30 20:56:56
24,Port Mathurin,-19.6833,63.4167,23.07,77,14,10.04,MU,2023-09-30 20:56:56
25,Edinburgh of the Seven Seas,-37.0676,-12.3116,10.21,80,100,18.62,SH,2023-09-30 20:56:56
26,Puerto Natales,-51.7236,-72.4875,13.25,41,100,10.8,CL,2023-09-30 20:56:56
27,Fort Bragg,35.139,-79.006,23.82,69,40,2.57,US,2023-09-30 20:52:30
28,Usogorsk,63.4106,48.6872,12.4,95,100,4.36,RU,2023-09-30 20:56:56
29,Bethel,41.3712,-73.414,16.57,90,100,2.57,US,2023-09-30 20:56:56
30,Cockburn Town,21.4612,-71.1419,27.98,83,40,5.14,TC,2023-09-30 20:56:56
31,Codrington,-38.2667,141.9667,13.07,83,79,8.95,AU,2023-09-30 20:56:56
32,Atafu Village,-8.5421,-172.5159,28.86,68,94,3.66,TK,2023-09-30 20:56:56
33,Karatau,43.1667,70.4667,15.18,37,5,2.83,KZ,2023-09-30 20:56:57
34,Nikolayevsk-on-Amur,53.1406,140.73,8.59,98,100,0.77,RU,2023-09-30 20:56:57
35,Ribeira Grande,38.5167,-28.7,20.22,73,20,4.12,PT,2023-09-30 20:56:57
36,Iqaluit,63.7506,-68.5145,2.61,100,100,6.71,CA,2023-09-30 20:56:57
37,Sena Madureira,-9.0656,-68.6569,32.89,48,100,0.8,BR,2023-09-30 20:56:57
38,Invercargill,-46.4,168.35,10.57,72,96,4.92,NZ,2023-09-30 20:56:57
39,Weno,7.4515,151.8468,26.97,89,100,1.54,FM,2023-09-30 20:56:57
40,Grand Falls-Windsor,48.9332,-55.6649,15.66,63,3,0.98,CA,2023-09-30 20:56:57
41,Aasiaat,68.7098,-52.8699,-4.08,83,78,3.96,GL,2023-09-30 20:56:57
42,Buenaventura,3.8801,-77.0312,28.49,78,78,2.66,CO,2023-09-30 20:56:57
43,Nova Sintra,14.8667,-24.7167,23.82,80,14,7.59,CV,2023-09-30 20:56:58
44,Nouadhibou,20.931,-17.0347,24.99,65,64,4.63,MR,2023-09-30 20:56:58
45,Howard Springs,-12.497,131.047,24.77,84,4,1.21,AU,2023-09-30 20:56:58
46,Naryan-Mar,67.6713,53.087,9.81,98,100,3.91,RU,2023-09-30 20:56:58
47,Capão da Canoa,-29.7456,-50.0097,16.6,89,100,4.21,BR,2023-09-30 20:56:58
48,Nemuro,43.3236,145.575,15.86,91,96,7.7,JP,2023-09-30 20:56:58
49,West Island,-12.1568,96.8225,24.99,78,75,6.69,CC,2023-09-30 20:56:58
50,San Patricio,28.017,-97.5169,31.67,49,32,7.53,US,2023-09-30 20:56:58
51,Al Muwayh,22.4333,41.7583,28.28,15,0,4.3,SA,2023-09-30 20:56:58
52,Ust'-Kut,56.7938,105.7672,3.22,94,59,1.67,RU,2023-09-30 20:56:58
53,Aransas Pass,27.9095,-97.15,30.55,78,40,4.63,US,2023-09-30 21:00:43
54,Kingston,17.997,-76.7936,30.33,81,40,5.14,JM,2023-09-30 21:03:48
55,Masuguru,-11.3667,38.4167,25.05,62,0,2.99,TZ,2023-09-30 21:00:43
56,Pangoa,-12.1167,-73.0,28.24,59,97,1.01,PE,2023-09-30 21:00:43
57,Saipan,15.1355,145.701,26.39,89,100,3.09,MP,2023-09-30 21:00:43
58,Puerto Ayora,-0.7393,-90.3518,24.19,88,100,3.58,EC,2023-09-30 20:59:24
59,Bilibino,68.0546,166.4372,-7.28,98,100,3.01,RU,2023-09-30 21:00:44
