City_ID,City,Lat,Lon,Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Donaghadee,54.6333,-5.5333,11.89,86,80,0.89,GB,2023-10-03 23:08:45
1,Howrah,22.5892,88.3103,26.0,94,100,4.12,IN,2023-10-03 23:08:46
2,Cannonvale,-20.2833,148.7,24.66,73,27,2.23,AU,2023-10-03 23:08:46
3,Ilulissat,69.2167,-51.1,-1.99,59,17,0.0,GL,2023-10-03 23:08:46
4,Blackmans Bay,-43.0167,147.3167,11.49,69,100,2.38,AU,2023-10-03 23:08:46
5,Margaret River,-33.95,115.0667,13.42,69,96,1.61,AU,2023-10-03 23:06:52
6,Grand Falls-Windsor,48.9332,-55.6649,6.95,92,100,3.13,CA,2023-10-03 23:08:46
7,Waitangi,-43.9535,-176.5597,11.01,75,92,2.68,NZ,2023-10-03 23:08:46
8,Constanța,44.1833,28.65,11.38,67,3,3.61,RO,2023-10-03 23:08:11
9,Knoxville,35.9606,-83.9207,25.68,52,0,2.06,US,2023-10-03 23:04:00
10,Fada N'gourma,12.0622,0.3578,24.75,83,100,4.06,BF,2023-10-03 23:08:46
11,Puerto Natales,-51.7236,-72.4875,5.48,88,34,3.01,CL,2023-10-03 23:08:47
12,Whitehorse,60.7161,-135.0538,2.95,60,95,4.02,CA,2023-10-03 23:08:38
13,Stanley,54.868,-1.6985,10.02,86,20,3.6,GB,2023-10-03 23:08:47
14,St. John's,47.5649,-52.7093,14.17,81,100,4.63,CA,2023-10-03 23:04:22
15,Adamstown,-25.066,-130.1015,20.4,75,81,8.36,PN,2023-10-03 23:06:21
16,Hadibu,12.65,54.0333,26.35,81,2,0.99,YE,2023-10-03 23:08:47
17,Udachny,66.4167,112.4,-3.64,85,100,7.44,RU,2023-10-03 23:08:47
18,Tromsø,69.6496,18.957,3.01,87,75,2.06,NO,2023-10-03 23:08:01
19,Hermanus,-34.4187,19.2345,14.57,91,89,4.42,ZA,2023-10-03 23:08:47
20,Quellón,-43.1167,-73.6167,8.46,82,85,0.6,CL,2023-10-03 23:08:47
21,Kapuskasing,49.4169,-82.4331,22.14,67,35,3.42,CA,2023-10-03 23:08:48
22,Basi,26.8333,76.0333,24.19,27,0,1.28,IN,2023-10-03 23:08:48
23,Banchory,57.0517,-2.4882,10.41,81,76,4.44,GB,2023-10-03 23:08:48
24,Yeniseysk,58.4497,92.1703,8.3,84,100,4.02,RU,2023-10-03 23:08:48
25,Wailua Homesteads,22.0669,-159.378,28.07,73,40,4.63,US,2023-10-03 23:08:48
26,Holualoa,19.6228,-155.9522,26.43,70,75,4.63,US,2023-10-03 23:08:48
27,George Town,5.4112,100.3354,25.76,94,20,0.0,MY,2023-10-03 23:08:48
28,Muisne,0.6,-80.0333,24.38,78,97,4.77,EC,2023-10-03 23:08:48
29,Port-aux-Français,-49.35,70.2167,4.43,93,100,20.98,TF,2023-10-03 23:08:48
30,Vila Franca do Campo,37.7167,-25.4333,23.82,99,17,4.34,PT,2023-10-03 23:08:49
31,Kingston,17.997,-76.7936,28.05,81,75,4.12,JM,2023-10-03 23:06:36
32,Invercargill,-46.4,168.35,17.79,53,93,4.92,NZ,2023-10-03 23:07:40
33,Albany,42.6001,-73.9662,20.67,84,0,1.81,US,2023-10-03 23:08:49
34,Grytviken,-54.2811,-36.5092,0.86,75,100,1.67,GS,2023-10-03 23:08:49
35,Nova Sintra,14.8667,-24.7167,23.49,78,5,1.78,CV,2023-10-03 23:08:49
36,Beroroha,-21.6667,45.1667,19.44,59,0,3.26,MG,2023-10-03 23:07:21
37,Aykhal,66.0,111.5,-4.41,95,100,4.92,RU,2023-10-03 23:08:49
38,Ushuaia,-54.8,-68.3,2.67,95,90,2.79,AR,2023-10-03 23:08:49
39,As Sulayyil,20.4607,45.5779,26.14,19,0,1.75,SA,2023-10-03 23:08:49
40,Chisec,15.8167,-90.2833,31.13,85,68,1.05,GT,2023-10-03 23:05:38
41,Sīwah,29.2041,25.5195,24.71,49,97,3.37,EG,2023-10-03 23:08:49
42,Bethel,41.3712,-73.414,20.59,82,0,0.0,US,2023-10-03 23:08:50
43,Arar,30.9753,41.0381,23.01,38,40,3.09,SA,2023-10-03 23:08:50
44,Cologne,50.9333,6.95,13.08,77,0,4.12,DE,2023-10-03 23:08:50
45,College,64.8569,-147.8028,0.33,93,100,2.06,US,2023-10-03 23:06:19
46,Gaspé,48.8334,-64.4819,9.5,91,90,1.7,CA,2023-10-03 23:08:50
47,Polyarny,69.1989,33.4478,3.42,81,100,1.25,RU,2023-10-03 23:08:50
48,Bereeda,11.8704,51.0579,27.49,71,4,2.99,SO,2023-10-03 23:08:50
49,Ojinaga,29.5667,-104.4167,34.55,27,0,2.06,MX,2023-10-03 23:08:17
50,Kristiansund,63.1115,7.732,9.36,87,100,4.12,NO,2023-10-03 23:08:50
51,Nizao,18.25,-70.2,30.04,78,72,1.82,DO,2023-10-03 23:08:50
52,Lincoln City,44.9582,-124.0179,15.76,90,39,4.47,US,2023-10-03 23:08:51
53,Ribeira Grande,38.5167,-28.7,21.54,92,91,4.92,PT,2023-10-03 23:08:51
54,Yuzhno-Kurilsk,44.0306,145.8556,14.1,73,100,0.92,RU,2023-10-03 23:08:51
55,Pariaman,-0.619,100.12,24.71,88,100,2.46,ID,2023-10-03 23:08:51
56,Iqaluit,63.7506,-68.5145,0.39,82,97,7.15,CA,2023-10-03 23:08:51
57,Castillos,-34.1667,-53.8333,15.77,93,100,4.11,UY,2023-10-03 23:08:51
58,Atamanovka,51.93,113.63,-0.94,87,12,1.68,RU,2023-10-03 23:08:51
59,Dakhla,23.6848,-15.958,22.02,77,4,5.24,EH,2023-10-03 23:08:51
60,Eydhafushi,5.1033,73.0708,26.81,83,100,6.89,MV,2023-10-03 23:08:51
61,Morondava,-20.2833,44.2833,24.9,73,10,4.16,MG,2023-10-03 23:08:52
62,Hawaiian Paradise Park,19.5933,-154.9731,27.38,75,0,6.17,US,2023-10-03 23:08:52
63,Bilibino,68.0546,166.4372,-11.14,93,77,1.3,RU,2023-10-03 23:08:52
64,Barakani,-12.1356,44.4317,25.43,78,50,2.58,KM,2023-10-03 23:08:52
65,São Paulo de Olivença,-3.3783,-68.8725,31.62,40,57,1.63,BR,2023-10-03 23:08:52
66,Muang Không,14.1167,105.85,23.46,99,100,1.2,LA,2023-10-03 23:08:52
67,Port Elizabeth,-33.918,25.5701,17.4,86,34,4.02,ZA,2023-10-03 23:08:52
68,Morant Bay,17.8815,-76.4093,25.39,83,84,2.04,JM,2023-10-03 23:08:52
69,Anadyr,64.75,177.4833,1.67,64,20,6.0,RU,2023-10-03 23:08:15
70,Klaksvík,62.2266,-6.589,7.51,78,89,6.03,FO,2023-10-03 23:08:52
71,George Town,5.4112,100.3354,25.76,94,20,0.0,MY,2023-10-03 23:08:09
72,Point Pedro,9.8167,80.2333,27.07,84,58,9.99,LK,2023-10-03 23:08:53
73,Alo,7.4178,6.7371,23.87,96,100,1.01,NG,2023-10-03 23:08:53
74,Vorgashor,67.5833,63.95,-0.13,92,83,3.43,RU,2023-10-03 23:08:53
75,Papatowai,-46.5619,169.4708,17.18,41,99,5.47,NZ,2023-10-03 23:08:53
76,Tari,12.4086,4.4914,25.07,71,79,3.02,NG,2023-10-03 23:08:53
77,Tralee,52.2704,-9.7026,11.81,91,89,3.7,IE,2023-10-03 23:08:53
78,Yellowknife,62.456,-114.3525,9.12,93,52,2.24,CA,2023-10-03 23:08:53
79,Matoury,4.8483,-52.3317,27.98,83,20,2.06,GF,2023-10-03 23:08:53
80,Edinburgh of the Seven Seas,-37.0676,-12.3116,10.29,66,92,6.3,SH,2023-10-03 23:08:53
81,Klyuchi,52.2667,79.1667,5.23,54,0,2.59,RU,2023-10-03 23:08:53
82,Punta Arenas,-53.15,-70.9167,8.06,66,20,4.63,CL,2023-10-03 23:08:53
83,Melekeok Village,7.4957,134.6367,24.31,94,100,2.57,PW,2023-10-03 23:08:54
84,Kenai,60.5544,-151.2583,8.1,40,0,3.6,US,2023-10-03 23:04:10
85,Shevchenko,48.5,35.0,12.99,51,4,1.5,UA,2023-10-03 23:08:54
86,La Passe,45.5549,-0.8967,14.13,77,57,3.65,FR,2023-10-03 23:08:54
87,West Island,-12.1568,96.8225,23.99,73,100,7.72,CC,2023-10-03 23:08:54
88,Mikuni,36.2171,136.1519,20.01,81,81,0.72,JP,2023-10-03 23:08:54
89,La Ronge,55.1001,-105.2842,13.23,58,36,0.46,CA,2023-10-03 23:08:54
90,Magong,23.5654,119.5863,26.35,87,70,16.98,TW,2023-10-03 23:08:54
91,Port Kembla,-34.4667,150.9,21.13,49,100,5.86,AU,2023-10-03 23:08:54
92,Xalapa,19.5333,-96.9167,20.76,91,84,1.17,MX,2023-10-03 23:07:08
93,Myitkyina,25.3833,97.4,23.33,100,68,0.42,MM,2023-10-03 23:08:17
94,Östersund,63.1792,14.6357,4.25,100,1,2.57,SE,2023-10-03 23:08:55
95,San Borja,-14.8167,-66.85,33.36,43,67,3.14,BO,2023-10-03 23:08:55
96,Port Mathurin,-19.6833,63.4167,23.04,79,1,2.65,MU,2023-10-03 23:08:55
97,Chernyshevskiy,63.0128,112.4714,-2.11,96,100,3.84,RU,2023-10-03 23:08:55
98,Patterson,37.4716,-121.1297,28.08,33,1,3.36,US,2023-10-03 23:08:55
99,Dorado,18.4588,-66.2677,27.38,95,75,4.12,PR,2023-10-03 23:08:55
100,Hīt,33.6416,42.8251,26.76,40,100,0.96,IQ,2023-10-03 23:08:55
101,Itoman,26.1247,127.6694,27.08,94,75,5.66,JP,2023-10-03 23:08:55
102,Faaa,-17.55,-149.6,28.98,70,20,4.63,PF,2023-10-03 23:08:55
103,Mirny,62.5353,113.9611,-4.31,92,100,4.02,RU,2023-10-03 23:08:56
104,Sinabang,2.4803,96.3801,26.19,83,100,3.78,ID,2023-10-03 23:08:56
105,Puerto Ayora,-0.7393,-90.3518,23.64,93,70,0.89,EC,2023-10-03 23:08:56
106,Haiku-Pauwela,20.9219,-156.3051,30.01,55,40,5.14,US,2023-10-03 23:08:56
107,Minas de Marcona,-15.2119,-75.1103,13.87,88,82,7.19,PE,2023-10-03 23:08:56
108,Albertina,-22.2008,-46.6158,22.95,68,93,1.25,BR,2023-10-03 23:08:56
109,Trégunc,47.85,-3.85,10.33,81,54,1.6,FR,2023-10-03 23:08:56
110,Aripuanã,-9.1667,-60.6333,30.0,48,78,1.74,BR,2023-10-03 23:08:37
111,Wewak,-3.5534,143.6268,26.17,84,100,1.33,PG,2023-10-03 23:08:56
112,Port Macquarie,-31.4333,152.9167,24.94,57,2,9.35,AU,2023-10-03 23:08:56
113,Urangan,-25.3,152.9,22.89,72,26,5.75,AU,2023-10-03 23:08:56
114,Cabo San Lucas,22.8909,-109.9124,31.21,66,40,5.66,MX,2023-10-03 23:08:57
115,Kavieng,-2.5744,150.7967,28.42,74,70,2.12,PG,2023-10-03 23:08:57
116,Kuta,-8.7233,115.1723,25.0,100,20,0.51,ID,2023-10-03 23:08:57
117,Jijelli,36.8205,5.7667,22.63,67,0,2.05,DZ,2023-10-03 23:08:57
118,Tiksi,71.6872,128.8694,-3.19,96,100,2.52,RU,2023-10-03 23:08:57
119,Dapa,9.7594,126.0531,28.32,75,71,1.15,PH,2023-10-03 23:08:57
120,Touros,-5.1989,-35.4608,25.8,70,38,6.77,BR,2023-10-03 23:07:30
121,Manokwari,-0.8667,134.0833,26.64,75,96,0.6,ID,2023-10-03 23:08:57
122,Yinchuan,38.4681,106.2731,16.1,31,100,6.78,CN,2023-10-03 23:08:58
123,Mpika,-11.8343,31.4529,16.61,68,76,2.97,ZM,2023-10-03 23:08:58
124,Tôlanaro,-25.0319,46.9987,17.92,76,14,5.34,MG,2023-10-03 23:08:58
125,Saint Paul Harbor,57.79,-152.4072,10.73,37,0,5.14,US,2023-10-03 23:08:58
126,Pandan,14.0453,124.1694,28.14,79,98,3.94,PH,2023-10-03 23:08:58
127,Zaragoza,41.6561,-0.8773,20.61,58,0,5.66,ES,2023-10-03 23:08:58
128,Tanout,14.9709,8.8879,30.9,31,96,3.93,NE,2023-10-03 23:08:58
129,North Battleford,52.7834,-108.2847,15.78,37,3,5.88,CA,2023-10-03 23:08:58
130,Urcos,-13.6861,-71.6228,18.94,78,100,2.67,PE,2023-10-03 23:08:58
131,Tshabong,-26.05,22.45,23.71,25,3,8.46,BW,2023-10-03 23:08:58
132,Mount Gambier,-37.8333,140.7667,10.51,79,58,1.6,AU,2023-10-03 23:08:58
133,Hacienda Huancane,-15.8222,-70.8856,9.42,37,22,6.89,PE,2023-10-03 23:08:59
